song_name,added_at,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
The Kinslayer - Remastered,2020-04-25T11:30:01Z,4:09,42,14,https://open.spotify.com/track/0xH1fLkjvRL7jOMsH2ZJ6p,https://p.scdn.co/mp3-preview/c248dd490f12fd3b7a986687b0f294adf057d3e0?cid=2490920ce5574a1a9b97a3e366c39dd3,Decades,2018-03-09,22,https://i.scdn.co/image/ab67616d00001e020b54da220db8e0973d803ef1,https://open.spotify.com/album/7maywFP1bQZyit0l9l0VHb,Nightwish,https://open.spotify.com/artist/2NPduAUeLVsfIauhRwuft1
Kings of the Nordic Twilight,2020-04-25T11:30:00Z,11:37,28,10,https://open.spotify.com/track/4S9y65l2zi5dhsGZpSY2nM,https://p.scdn.co/mp3-preview/de31adb88bed02e1d49923632ee8129712ca83be?cid=2490920ce5574a1a9b97a3e366c39dd3,King of the Nordic Twilight,1999,10,https://i.scdn.co/image/ab67616d00001e02e745b7a8e69392bc2a7e4298,https://open.spotify.com/album/3BaKBaOLt8f1zpzBS4iFql,Luca Turilli,https://open.spotify.com/artist/2jqA2OsMhBDu0M2GLDIvsH
Burn With Me,2020-04-25T11:29:55Z,4:00,48,6,https://open.spotify.com/track/1ThpRiisM7LPZOojNXWZug,https://p.scdn.co/mp3-preview/5a97db973c1d8ba054542195ae386ba9c6f6a1ef?cid=2490920ce5574a1a9b97a3e366c39dd3,The Nexus,2013-01-01,14,https://i.scdn.co/image/ab67616d00001e026e1996d8839748b11468f129,https://open.spotify.com/album/6431V8pOEUPUW4k9ASyKCV,Amaranthe,https://open.spotify.com/artist/2KaW48xlLnXC2v8tvyhWsa
Yggdrasil,2020-04-25T11:29:53Z,4:32,61,6,https://open.spotify.com/track/3V417nSM4Ilh0Tt5CqustV,https://p.scdn.co/mp3-preview/7564625efe5bd39f527eafbc8ed17adef003ef63?cid=2490920ce5574a1a9b97a3e366c39dd3,Prophecy of Ragnarök,2017-04-01,14,https://i.scdn.co/image/ab67616d00001e0266a38b753013c0e66084830c,https://open.spotify.com/album/3hkZ5FWUJ23YKAMotqbTm0,Brothers of Metal,https://open.spotify.com/artist/0WPCPYm5IDNtQjuJOGNPcy
The Matriarch,2020-04-25T11:29:50Z,4:02,37,3,https://open.spotify.com/track/7yV3poLov8f1L50kA1ciwe,https://p.scdn.co/mp3-preview/bb4436fa3a70dece95a59832a4564d031316173c?cid=2490920ce5574a1a9b97a3e366c39dd3,Apex,2017-06-02,10,https://i.scdn.co/image/ab67616d00001e02f95a8a693ebcc5cbf89899bb,https://open.spotify.com/album/505PSAdJ9BVuKUZLuhXVFc,Unleash The Archers,https://open.spotify.com/artist/6irKXFXk2sPNmHtKqmrfuU
Forever,2020-04-25T11:29:48Z,5:09,25,9,https://open.spotify.com/track/1OnHhrSLOvIKhNcvkltO4i,https://p.scdn.co/mp3-preview/3d6471af81df191973ed5c42ce05fc657603b591?cid=2490920ce5574a1a9b97a3e366c39dd3,Crowned in Frost,2019-03-22,11,https://i.scdn.co/image/ab67616d00001e02be664c7ab747c198bc98e786,https://open.spotify.com/album/4WhTRbpmG0CXm97sBd9Zxq,Frozen Crown,https://open.spotify.com/artist/6hbGneO1qRnmz6xflK4n8E
General of the Dark Army,2020-04-25T11:29:47Z,7:39,41,4,https://open.spotify.com/track/5WDroVCEVjLayAJoqeuMR7,https://p.scdn.co/mp3-preview/bf0b894720e034f7c6de7bc1cb998a46a68a603f?cid=2490920ce5574a1a9b97a3e366c39dd3,Demons of the AstroWaste,2011-05-18,12,https://i.scdn.co/image/ab67616d00001e027a6af23a449165a292086321,https://open.spotify.com/album/2DkBoDwMUIBnpPTwRQnCmK,Unleash The Archers,https://open.spotify.com/artist/6irKXFXk2sPNmHtKqmrfuU
Heroes in Time,2020-04-25T11:29:46Z,3:45,35,5,https://open.spotify.com/track/4zgkpHxyIkweE7MtsEEaeF,https://p.scdn.co/mp3-preview/ce93d08dbe2b18ab8f8100cf6f17e67926416beb?cid=2490920ce5574a1a9b97a3e366c39dd3,Heroes in Time,2017-10-27,11,https://i.scdn.co/image/ab67616d00001e02b8cda1604fc97930d5b43706,https://open.spotify.com/album/3A5MgzlDQGfu8TPCPz1g0r,Metalite,https://open.spotify.com/artist/18RXUrxy1BYOOvrW0XuFBg
Broken Promises,2020-04-25T11:29:40Z,4:32,32,2,https://open.spotify.com/track/0ig3QjbjcfO5p0WUayh26Z,https://p.scdn.co/mp3-preview/bb2b66774a1dfd2c21716f081645f5a65246a538?cid=2490920ce5574a1a9b97a3e366c39dd3,Of Jupiter and Moons,2018-04-20,10,https://i.scdn.co/image/ab67616d00001e02a9910c91dfc74f2f30481928,https://open.spotify.com/album/3YhJYyLJyRO8RLCwY637EY,Temperance,https://open.spotify.com/artist/0WHhPa7TmqQASabtpYsa5J
Circe's Spell,2020-04-25T11:29:31Z,4:42,28,2,https://open.spotify.com/track/10o6BGDhc8iLqYYpyL9bmP,https://p.scdn.co/mp3-preview/7fdb0fcf462d2e2a57c7289e012652acf44bc337?cid=2490920ce5574a1a9b97a3e366c39dd3,The Frozen Throne,2018-11-23,11,https://i.scdn.co/image/ab67616d00001e023e77c716fbb0f282deef8477,https://open.spotify.com/album/4p6FLayBpSuuIagjhDjBhZ,Kalidia,https://open.spotify.com/artist/0CNwIzfosLnGPKiVrLtLxA
