song_name,added_at,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Wretched World,2020-07-13T11:24:58Z,7:10,41,13,https://open.spotify.com/track/5Ct2IAe3uGkhl09wjs3QNV,https://p.scdn.co/mp3-preview/0665a21840abddd3056fcb49d673242128ea027a?cid=2490920ce5574a1a9b97a3e366c39dd3,Axe To Fall,2009-10-20,13,https://i.scdn.co/image/ab67616d00001e0213dfb6ac92c44ac010e1d706,https://open.spotify.com/album/0sAtQQ4Y2zewIIxFidHbVR,Converge,https://open.spotify.com/artist/7kHzfxMLtVHHb523s43rY1
Future Starts Slow,2020-07-10T11:27:46Z,4:08,54,1,https://open.spotify.com/track/0A0RBBTrgfq9eClnw6ZXT7,https://p.scdn.co/mp3-preview/b1604c65650d9de3ac0f3640638ab2862d96eb9e?cid=2490920ce5574a1a9b97a3e366c39dd3,Blood Pressures,2011-04-04,11,https://i.scdn.co/image/ab67616d00001e02268ac130dd5ca689d21cea43,https://open.spotify.com/album/5kl3MEiOAGrmlamu3oP7mr,The Kills,https://open.spotify.com/artist/5BYuBzqmTXwUDw2rYkwExr
These Things,2020-07-09T07:09:13Z,5:12,45,2,https://open.spotify.com/track/2YsRTMOXVh7x8LjMf2o5ko,https://p.scdn.co/mp3-preview/9d0d5089f4ccea885d5374813496cb6e61f7e11c?cid=2490920ce5574a1a9b97a3e366c39dd3,She Wants Revenge,2005-01-01,12,https://i.scdn.co/image/ab67616d00001e0216d59323e07d989e1b1d9fcc,https://open.spotify.com/album/0ikcvM61CScaAOSKHOralR,She Wants Revenge,https://open.spotify.com/artist/2zRt0sfxNnqI8gLR7d8gWt
Drain the Blood,2020-07-01T09:30:15Z,3:09,52,1,https://open.spotify.com/track/3kYWrBoFBQGctF0UwgP8N1,https://p.scdn.co/mp3-preview/8aa6ebdf9e991b73efc174e7ecaacb3998001618?cid=2490920ce5574a1a9b97a3e366c39dd3,Coral Fang (PA Version),2003-10-07,11,https://i.scdn.co/image/ab67616d00001e02e4ce2b3fffb81dbfca5dcace,https://open.spotify.com/album/23MOdUJkZlG971DVuEINMr,The Distillers,https://open.spotify.com/artist/7MlyHuGRHi31yYlrttDqgT
Wolf Like Me,2020-06-29T11:02:38Z,4:37,60,5,https://open.spotify.com/track/3ORCMXu4CAvrrzUodj91gA,https://p.scdn.co/mp3-preview/b0959470bdca1b510ad728f7beeb9bcce79d75b6?cid=2490920ce5574a1a9b97a3e366c39dd3,Return To Cookie Mountain,2006-07-03,11,https://i.scdn.co/image/ab67616d00001e0261cc6f0d88a624ec3ad24098,https://open.spotify.com/album/6BIb0E2pYzhPf0eeIafs2r,TV On The Radio,https://open.spotify.com/artist/3HJIB8sYPyxrFGuwvKXSLR
Red Flags And Long Nights,2020-06-26T10:59:40Z,5:08,46,1,https://open.spotify.com/track/5e0vfjC19908HLerbfbEkv,https://p.scdn.co/mp3-preview/ac3698ee25f59cae5b2d5bb4e85b889341d37542?cid=2490920ce5574a1a9b97a3e366c39dd3,She Wants Revenge,2005-01-01,12,https://i.scdn.co/image/ab67616d00001e0216d59323e07d989e1b1d9fcc,https://open.spotify.com/album/0ikcvM61CScaAOSKHOralR,She Wants Revenge,https://open.spotify.com/artist/2zRt0sfxNnqI8gLR7d8gWt
You'll Never Get To Me,2020-06-26T10:33:41Z,6:19,32,7,https://open.spotify.com/track/1WPjX3Ar4BmPMnVlgiMwuQ,https://p.scdn.co/mp3-preview/1d792e2ef2d7f0398f2ea234f6f3f96e51cc2f1d?cid=2490920ce5574a1a9b97a3e366c39dd3,Killing Joke,2003-07-15,10,https://i.scdn.co/image/ab67616d00001e0246f915235c260ff1729afae3,https://open.spotify.com/album/0QdWqJmpfrgIepHxGNU4Rs,Killing Joke,https://open.spotify.com/artist/0Zy4ncr8h1jd7Nzr9946fD
Die World,2020-06-24T09:49:10Z,4:33,40,1,https://open.spotify.com/track/3ZLFDPE35lm04kHyJEfkLV,https://p.scdn.co/mp3-preview/7520043873944a0920099a42d012f0e231d438d4?cid=2490920ce5574a1a9b97a3e366c39dd3,The World Is Getting Colder,2012-02-27,11,https://i.scdn.co/image/ab67616d00001e023203e3026ab4733374192d37,https://open.spotify.com/album/4IJBHdhLNFx7UC1AXsXJAO,Lebanon Hanover,https://open.spotify.com/artist/6w8h2uD28BEdg7bX4k3Lh7
Vengeance,2020-06-04T11:10:31Z,3:34,25,3,https://open.spotify.com/track/4kWcoZJ7nqIRWIciUrVrbI,https://p.scdn.co/mp3-preview/b7f1ddefa4899644d781725e121fbd8dc1eeed22?cid=2490920ce5574a1a9b97a3e366c39dd3,Vengeance,2002-01-01,12,https://i.scdn.co/image/ab67616d00001e02f77369fdb5acceea90beee1a,https://open.spotify.com/album/6FGBRj83Ml0qLnQCVsqtMM,Tragedy,https://open.spotify.com/artist/6H0LnhDF6W7g2H234i6z3Q
Never Healed,2020-06-04T11:09:08Z,2:05,18,1,https://open.spotify.com/track/305HmCA4kZ0KTMQIqIJ6LJ,https://p.scdn.co/mp3-preview/9af42539a0f7fa5fc32c98640aa38ea4884a6450?cid=2490920ce5574a1a9b97a3e366c39dd3,1985-1987,2006-01-20,19,https://i.scdn.co/image/ab67616d00001e029d48ab8baff98adadc11d896,https://open.spotify.com/album/7FLfIfmo4noeV5TfPzkJbY,Heresy,https://open.spotify.com/artist/0pT4Z78fyJMkR78bFmhxIU
Hydrophobia,2020-05-28T21:48:31Z,6:31,25,4,https://open.spotify.com/track/4wh6Ylkxo96WbUyzpPWPvn,https://p.scdn.co/mp3-preview/77560f5ea6d0e565ec2a6c2c6be0369ea61f2ecf?cid=2490920ce5574a1a9b97a3e366c39dd3,The Sea,2018-01-22,6,https://i.scdn.co/image/ab67616d00001e025ec1a8ea8586311c45b48170,https://open.spotify.com/album/5ZO5pXlgYkn7U5z403VSg1,Somali Yacht Club,https://open.spotify.com/artist/4sgZ0Kad8DGhIP422wLArV
20,2020-05-16T12:56:26Z,3:38,18,3,https://open.spotify.com/track/0ojc2Dgt3f1SibdYeLyxsg,https://p.scdn.co/mp3-preview/900453f61a6b7c0749d74632385776f50151b967?cid=2490920ce5574a1a9b97a3e366c39dd3,In The Groove,2005-11-23,14,https://i.scdn.co/image/ab67616d00001e025200828a33e75835c0e58c64,https://open.spotify.com/album/5cZ1SppOuMg4sS0WqDkAls,Various Artists,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of
Eight,2020-05-16T12:40:35Z,4:39,13,5,https://open.spotify.com/track/6dPEFCy0jEMUqbp6sz32h3,https://p.scdn.co/mp3-preview/93b4a53a17f72d5493e969dc6f78d37d13f7e69f?cid=2490920ce5574a1a9b97a3e366c39dd3,Karma To Burn,1997-02-27,12,https://i.scdn.co/image/ab67616d00001e0244d63edee57e3a6038d3cd67,https://open.spotify.com/album/2m9Iy95UNh7KbHKeRImWlZ,Karma To Burn,https://open.spotify.com/artist/1tMtHqVsdmW0Yj9f4YnnHq
I Follow Rivers - The Magician Remix,2020-05-12T08:25:28Z,4:40,73,1,https://open.spotify.com/track/4Jv7lweGIUOFQ7Oq2AtAh9,https://p.scdn.co/mp3-preview/154f0d5ccb26b95f5d600e588ffa980b08362b03?cid=2490920ce5574a1a9b97a3e366c39dd3,I Follow Rivers (The Magician Remix),2011-10-10,1,https://i.scdn.co/image/ab67616d00001e024511aa630a2b1b289ef313bb,https://open.spotify.com/album/3Lp1pBV5Lao3Ry6CiEb7Y1,Lykke Li,https://open.spotify.com/artist/6oBm8HB0yfrIc9IHbxs6in
